PortNo,FE,REC
1,FE1,REC1
2,FE1,REC1
3,FE1,REC1
4,FE1,REC1
5,FE1,REC1
6,FE1,REC1
7,FE2,REC2
8,FE2,REC2
9,FE2,REC2
10,FE2,REC2
11,FE2,REC2
12,FE2,REC2
13,FE3,REC3
14,FE3,REC3
15,FE3,REC3
16,FE3,REC3
17,FE3,REC3
18,FE3,REC3
19,FE4,REC4
20,FE4,REC4
21,FE4,REC4
22,FE4,REC4
23,FE4,REC4
24,FE4,REC4
